"";"Gender";"Ever_Married";"Age";"Graduated";"Profession";"Work_Experience";"Spending_Score";"Family_Size";"Var_1";"Segmentation"
"1";"Male";"No";22;"No";"Healthcare";1;"Low";4;"Cat_4";"D"
"3";"Female";"Yes";67;"Yes";"Engineer";1;"Low";1;"Cat_6";"B"
"4";"Male";"Yes";67;"Yes";"Lawyer";0;"High";2;"Cat_6";"B"
"6";"Male";"Yes";56;"No";"Artist";0;"Average";2;"Cat_6";"C"
"7";"Male";"No";32;"Yes";"Healthcare";1;"Low";3;"Cat_6";"C"
"8";"Female";"No";33;"Yes";"Healthcare";1;"Low";3;"Cat_6";"D"
"9";"Female";"Yes";61;"Yes";"Engineer";0;"Low";3;"Cat_7";"D"
"10";"Female";"Yes";55;"Yes";"Artist";1;"Average";4;"Cat_6";"C"
"11";"Female";"No";26;"Yes";"Engineer";1;"Low";3;"Cat_6";"A"
"12";"Male";"No";19;"No";"Healthcare";4;"Low";4;"Cat_4";"D"
"15";"Female";"Yes";58;"No";"Doctor";0;"Low";1;"Cat_3";"B"
"16";"Female";"No";41;"No";"Healthcare";1;"Low";2;"Cat_1";"C"
"17";"Female";"No";32;"No";"Homemaker";9;"Low";5;"Cat_3";"D"
"18";"Male";"No";31;"No";"Healthcare";1;"Low";6;"Cat_6";"B"
"19";"Male";"Yes";58;"Yes";"Entertainment";1;"Average";4;"Cat_6";"B"
"20";"Female";"Yes";79;"Yes";"Artist";0;"High";1;"Cat_6";"C"
"21";"Male";"Yes";49;"Yes";"Homemaker";12;"Low";1;"Cat_3";"A"
"22";"Female";"No";18;"No";"Healthcare";3;"Low";4;"Cat_6";"D"
"23";"Male";"Yes";33;"Yes";"Artist";13;"Low";2;"Cat_3";"A"
"24";"Female";"No";36;"Yes";"Artist";5;"Low";2;"Cat_6";"B"
"26";"Male";"Yes";56;"No";"Artist";1;"Average";3;"Cat_6";"C"
"27";"Male";"No";31;"No";"Healthcare";9;"Low";8;"Cat_4";"A"
"28";"Male";"Yes";49;"Yes";"Artist";1;"Average";3;"Cat_6";"C"
"29";"Male";"No";35;"Yes";"Artist";0;"Low";1;"Cat_6";"B"
"30";"Female";"No";35;"No";"Artist";5;"Low";4;"Cat_6";"C"
"31";"Female";"Yes";45;"Yes";"Artist";0;"Low";3;"Cat_6";"C"
"32";"Female";"Yes";42;"No";"Doctor";1;"Low";2;"Cat_4";"A"
"33";"Male";"No";19;"No";"Healthcare";1;"Low";3;"Cat_2";"D"
"35";"Female";"Yes";83;"No";"Lawyer";1;"High";2;"Cat_6";"D"
"36";"Female";"No";27;"Yes";"Healthcare";3;"Low";4;"Cat_1";"D"
"37";"Male";"No";32;"No";"Doctor";5;"Low";1;"Cat_4";"D"
"38";"Female";"Yes";28;"No";"Healthcare";1;"Average";5;"Cat_3";"D"
