"Versuche";"Fehlversuche";"Regel";"Erkannt"
0;0;"2x";"Nein"
0;0;"Mal zwei oder hoch zwei";"Nein"
8;2;"Zahl3 soll größer als Zahl2 sein und diese wiederum größer als Zahl1.";"Ja"
0;0;;
0;0;;
0;0;"Dopplng der Zahlen";"Nein"
0;0;"+2 *2";"Nein"
2;0;"x2";"Nein"
1;0;"X(i+1) > X(i)";"Ja"
2;0;"X • 2";"Nein"
1;0;"Die vorherige Zahl immer verdoppeln";"Nein"
0;0;"Stetige Veroppelung";"Nein"
1;0;"jede Zahl wird verdoppelt. ";"Nein"
5;2;"Zahlen müssen immer größer werden";"Ja"
9;3;"nächste Zahl ist größer";"Ja"
0;0;"positive Zahl";"Nein"
9;3;"Erste Zahl < Zweite Zahl < Dritte Zahl";"Ja"
9;2;"Zahlen müssen größer als 0 sein";"Nein"
4;2;"Zahlen 2 und 3 müssen größer als Zahl 1 sein";"Nein"
3;0;"Man muss die Zahl mit sich selbst addieren";"Nein"
10;4;"Die Zahl1 ist immer kleiner als Zahl Zwei und Zahl drei immer größer als Zahl 2";"Ja"
2;0;"immer das doppelte der Zahl davor";"Nein"
0;0;"*2";"Nein"
2;0;"2er Potenz";"Nein"
2;0;"Zahlen mal 2 nehmen ";"Nein"
0;0;;
7;4;"Zahl 3 muss höher sein als Zahl 2 und Zahl 2 höher als Zahl 1";"Ja"
10;2;"Zahl 1 < Zahl 2  < Zahl 3";"Ja"
5;2;"aufsteigend positive Zahlen";"Ja"
1;0;;
0;0;"Zahl1 * 2 + 4";"Nein"
0;0;"zahlen müssen immer größer werden";"Ja"
0;0;"Die folgende Zahl ist größer";"Ja"
0;0;"die Zahlen werden größer";"Ja"
0;0;;
3;0;"Die Zahl wird einfach nur größer";"Ja"
0;0;"Die nächste Zahl muss immer größer sein als die davor";"Ja"
0;0;"Verdopplung ";"Nein"
1;0;"Zahl verdoppeln";"Nein"
0;0;;"Nein"
0;0;"64";"Nein"
5;3;"Die Zahl muss immer größer werden.";"Ja"
1;0;"2^x";"Nein"
0;0;"64";"Nein"
0;0;"Mal 2 oder plus 2";"Nein"
1;0;"16";"Nein"
1;0;"verdoppelung der vorherigen zahl";"Nein"
0;0;"*2";"Nein"
6;4;"Zahlen in aufsteigender Reihenfolge, egal welche";"Ja"
3;0;"keine";"Nein"
0;0;"verdoppelt die Zahl immer";"Nein"
1;0;"metrische Skala Intervallskala";"Nein"
5;2;"Es dürfen nicht die selben Zahlen benutzt werden";"Nein"
5;1;"<";"Ja"
3;0;;
0;0;;
0;0;;
4;0;"Die Zahl wird immer größer.";"Ja"
3;1;"immer grö´ßer";"Ja"
3;0;"Zahl1=Zahl1, Zahl2 = Zahl1 * 2, Zahl3 = Zahl1 * 3";"Nein"
0;0;"Die Zahl wird immer verdoppelt";"Nein"
0;0;;
0;0;"4 8 12 16";"Nein"
1;0;"2^ ; sqrt (2)";"Nein"
2;0;"Verdoppeln";"Nein"
0;0;;
2;0;"*2";"Nein"
0;0;"Doppelt";"Nein"
3;0;"Verdopplung ";"Nein"
2;0;"Dir nächste Zahl ist immer die Zahl davor mal 2";"Nein"
4;0;"1-2-4";"Nein"
2;0;"1, 2, 4";"Nein"
5;2;"Zahlen steigend";"Ja"
0;0;"Immer verdoppeln";"Nein"
9;2;"Die Größe der Zahl nimmt mit jeder weiteren Zahl zu. ";"Ja"
3;1;"Zahl muss größer sein";"Ja"
0;0;"16,32,64";"Nein"
1;0;"Die Zahlen verdoppeln sich";"Nein"
0;0;"16";"Nein"
0;0;;
10;3;"Die Zahlen müssen in aufsteigender Reihenfolge sein";"Ja"
0;0;"Die Zahl wird immer Mal 2 genommen";"Nein"
2;0;"x*2";"Nein"
0;0;;
18;6;;
0;0;;
0;0;"12";
0;0;"Verdoppelung";"Nein"
0;0;"doppelt";"Nein"
3;0;"Erstre Zahl Mal zweite Zahl ist dritte Zahl";"Nein"
0;0;"Die Zahl verdoppelt sich";"Nein"
0;0;"N-1+2";"Nein"
9;4;"Zahl 1 < Zahl 2 < Zahl 3";"Ja"
0;0;;
1;0;"das Doppelte ";"Nein"
1;0;;
1;0;"Zahl verdoppelt sich";"Nein"
1;0;"Zahl verdoppelt sich ";"Nein"
0;0;"Multiplikation der vorherigen Zahl mit 2";"Nein"
4;0;"Immer die vorherige Position x 2";"Nein"
0;0;"8 12 16 18";"Nein"
